stage_id,stage_name,mode,model_version,device,source_artifact,cases,candidate_rows,score_calls,elapsed_seconds,batch_avg_ms_per_score_call,mean_inner_score_ms,median_inner_score_ms,p95_inner_score_ms,runtime_source,notes
R001,mock recommendation,mock,mock-v0,cpu,server/recommender.py,1,3,3,0.001,0.33,1,1,1,mock scorer boundary minimum runtime,Mock baseline uses deterministic template scores; included only as an engineering baseline.
R002,SimOPA single composite smoke,simopa-full,simopa-rgb-mask-v1,cuda:0,report/logs/opa_baseline_smoke.txt,1,1,1,0.556,556.0,556.0,556.0,556.0,recorded by run_simopa_smoke.py,Direct SimOPA example scoring with released checkpoint.
R003,FastAPI SimOPA multipart smoke,simopa-full,simopa-rgb-mask-v1,cuda:0,report/logs/api_simopa_smoke.txt,1,3,12,3.821,318.42,,,,API response runtime_ms,Endpoint returns Top 3 but scores the full 12-candidate SimOPA prior pool.
R004,FastAPI SimOPA worker multipart smoke,simopa-worker,simopa-worker-rgb-mask-v1,cuda:0,report/logs/api_simopa_worker_smoke.txt,1,3,12,3.104,258.67,,,,API response runtime_ms,First worker API call includes worker startup and model loading; later calls reuse the worker.
R005,18-case candidate ranking,simopa-full,simopa-rgb-mask-v1,cuda:0,report/tables/candidate_ranking_v1.csv,18,234,234,66.6,284.62,40.55,26.0,203.0,candidate_ranking_v1.txt plus per-candidate runtime_ms,Scores OPA labeled candidate plus generated prior pool for each case.
R006,RGB/mask ablation,simopa-full,simopa-mask-ablation-v1,cuda:0,report/tables/rgb_vs_mask_comparison.csv,18,234,702,23.5,33.48,,,,rgb_vs_mask_comparison.txt,"Each candidate is scored with object mask, bbox mask, and blank mask."
R007,score calibration and IoU dedup,postprocess,simopa-rgb-mask-v1,cpu,report/tables/score_calibration_v1.csv,18,234,0,0.002,,,,,measured by run_evidence_summary.py,No model inference; applies temperature scaling and IoU dedup on existing scores.
R008,occlusion explainability,simopa-full,simopa-occlusion-v1,cuda:0,report/tables/occlusion_explainability_v1.csv,5,5,185,5.8,31.35,,,,occlusion_explainability_v1.txt,Each representative case gets one baseline score plus grid occlusion scores.
R009,50-case candidate ranking,simopa-full,simopa-rgb-mask-v1,cuda:0,report/tables/candidate_ranking_v2_50.csv,50,650,650,168.6,259.38,37.94,24.0,198.0,candidate_ranking_v2_50.txt plus per-candidate runtime_ms,Expanded validation with 25 positive and 25 negative OPA cases.
R010,robustness ablation,simopa-full,simopa-robustness-v1,cuda:0,report/tables/robustness_ablation.csv,5,45,45,1.5,33.33,,,,robustness_ablation.txt,"Perturbs mask shape, candidate position, and candidate scale on five representative cases."
R011,SimOPA full-vs-lite comparison,simopa-lite,simopa-lite-candidate-budget-v1,cuda:0,report/tables/lite_mode_comparison.csv,50,350,350,165.0,471.43,,,,lite_mode_comparison.txt,Compares full 13-candidate SimOPA ranking with a reduced candidate-budget lite mode.
R012,persistent SimOPA worker comparison,simopa-worker,simopa-worker-rgb-mask-v1,cuda:0,report/tables/persistent_worker_comparison.csv,50,650,650,23.4,36.0,393.06,374.0,491.0,persistent_worker_comparison.txt,Keeps one SimOPA model worker alive and compares it with per-case subprocess loading.
